image_id,category_id
02859.bmp,4
02859.bmp,4
02859.bmp,4
02859.bmp,4
02859.bmp,4
02859.bmp,4
02859.bmp,4
02859.bmp,4
02144.bmp,1
02144.bmp,1
02144.bmp,1
03845.bmp,1
03845.bmp,1
03845.bmp,1
03845.bmp,1
03845.bmp,1
03845.bmp,1
03845.bmp,1
03845.bmp,1
03845.bmp,1
03845.bmp,1
03845.bmp,1
03845.bmp,1
03845.bmp,1
03845.bmp,1
01494.bmp,4
01494.bmp,4
01494.bmp,4
01494.bmp,4
01494.bmp,4
01494.bmp,4
01494.bmp,4
01494.bmp,4
01494.bmp,4
02479.bmp,4
02479.bmp,2
02479.bmp,2
02479.bmp,2
02479.bmp,2
02479.bmp,4
02479.bmp,2
02479.bmp,4
02479.bmp,4
02479.bmp,4
02479.bmp,4
02479.bmp,2
02479.bmp,4
02479.bmp,4
06456.bmp,3
06003.bmp,0
07147.bmp,4
07147.bmp,4
07147.bmp,4
00143.bmp,3
00885.bmp,0
00885.bmp,0
02708.bmp,1
02708.bmp,1
06426.bmp,4
06426.bmp,2
06426.bmp,2
04668.bmp,2
04668.bmp,2
04668.bmp,4
04668.bmp,4
04668.bmp,2
04668.bmp,4
04668.bmp,4
04668.bmp,2
05850.bmp,1
05850.bmp,1
05850.bmp,1
05850.bmp,1
05850.bmp,1
05850.bmp,1
04670.bmp,4
04670.bmp,4
04670.bmp,2
04670.bmp,2
07199.bmp,4
07199.bmp,4
07199.bmp,4
07199.bmp,2
07199.bmp,2
07199.bmp,4
03871.bmp,4
03871.bmp,4
03871.bmp,4
03871.bmp,4
03871.bmp,3
06727.bmp,1
06727.bmp,1
06727.bmp,1
06727.bmp,1
06727.bmp,1
06727.bmp,1
06727.bmp,1
06360.bmp,4
06360.bmp,4
06360.bmp,4
06360.bmp,4
06360.bmp,2
06360.bmp,2
06360.bmp,2
06360.bmp,2
06360.bmp,2
04061.bmp,4
04061.bmp,4
04061.bmp,4
03040.bmp,3
03040.bmp,3
03040.bmp,3
04509.bmp,3
04509.bmp,3
04509.bmp,4
04509.bmp,3
04509.bmp,3
04509.bmp,3
04509.bmp,3
01886.bmp,1
01886.bmp,3
01886.bmp,3
01688.bmp,0
01688.bmp,0
01688.bmp,0
04676.bmp,4
04676.bmp,4
04676.bmp,2
00786.bmp,4
00786.bmp,4
00786.bmp,4
00786.bmp,4
00786.bmp,4
00786.bmp,4
00786.bmp,4
00786.bmp,4
00786.bmp,4
00786.bmp,5
00786.bmp,5
00786.bmp,5
00786.bmp,4
00786.bmp,4
00786.bmp,4
00786.bmp,4
00786.bmp,4
00786.bmp,4
00786.bmp,4
00786.bmp,4
00786.bmp,4
01075.bmp,0
01075.bmp,0
01075.bmp,0
01075.bmp,0
01075.bmp,0
01075.bmp,0
01075.bmp,0
01075.bmp,0
01075.bmp,0
01075.bmp,0
01765.bmp,1
01765.bmp,1
01107.bmp,0
01107.bmp,0
01107.bmp,0
01107.bmp,0
01107.bmp,0
01107.bmp,0
01107.bmp,0
06427.bmp,4
06427.bmp,4
07218.bmp,4
07218.bmp,2
07218.bmp,4
07218.bmp,4
07218.bmp,2
04560.bmp,4
04560.bmp,3
04560.bmp,4
04560.bmp,3
04560.bmp,4
04560.bmp,4
04560.bmp,4
01538.bmp,2
01538.bmp,2
01538.bmp,2
05098.bmp,2
05098.bmp,4
05098.bmp,4
05098.bmp,4
05098.bmp,4
00690.bmp,1
00690.bmp,1
04077.bmp,4
04077.bmp,4
04077.bmp,4
04077.bmp,4
04077.bmp,4
02045.bmp,4
02045.bmp,4
02045.bmp,4
02045.bmp,4
02045.bmp,4
02045.bmp,4
02045.bmp,4
02045.bmp,4
02045.bmp,4
02045.bmp,4
02045.bmp,4
01535.bmp,2
01535.bmp,2
01535.bmp,2
01535.bmp,2
01535.bmp,2
01535.bmp,2
01805.bmp,4
01805.bmp,4
01805.bmp,4
01805.bmp,4
02823.bmp,0
02823.bmp,0
01625.bmp,0
01625.bmp,0
06133.bmp,3
05167.bmp,4
05167.bmp,4
05167.bmp,4
05167.bmp,2
05167.bmp,2
05167.bmp,4
05167.bmp,4
05167.bmp,5
05167.bmp,5
05167.bmp,5
06678.bmp,4
06678.bmp,4
06678.bmp,4
06678.bmp,4
06678.bmp,4
06678.bmp,4
06678.bmp,4
06678.bmp,4
06678.bmp,4
06678.bmp,5
01208.bmp,1
01208.bmp,1
01208.bmp,1
02115.bmp,1
02115.bmp,1
02115.bmp,1
02115.bmp,1
02115.bmp,1
02115.bmp,1
02212.bmp,1
02212.bmp,1
02212.bmp,1
02212.bmp,1
02212.bmp,1
01915.bmp,4
01915.bmp,2
01915.bmp,4
01915.bmp,4
01915.bmp,2
01915.bmp,4
01915.bmp,2
01915.bmp,2
01915.bmp,4
04237.bmp,4
04237.bmp,4
04237.bmp,4
04237.bmp,4
04237.bmp,4
04237.bmp,4
04237.bmp,4
04237.bmp,4
04237.bmp,4
07137.bmp,4
07137.bmp,4
07137.bmp,4
07137.bmp,4
07137.bmp,4
07137.bmp,4
07137.bmp,4
07137.bmp,4
07137.bmp,4
07137.bmp,4
07137.bmp,4
07137.bmp,4
07137.bmp,4
07137.bmp,4
07137.bmp,4
05490.bmp,4
05490.bmp,4
04421.bmp,4
04421.bmp,4
04421.bmp,4
04421.bmp,4
04421.bmp,4
04421.bmp,4
04421.bmp,4
04421.bmp,4
04421.bmp,4
04421.bmp,4
04421.bmp,2
04421.bmp,4
04421.bmp,4
07123.bmp,4
07123.bmp,4
07123.bmp,4
07123.bmp,4
07123.bmp,4
07123.bmp,4
07123.bmp,4
07123.bmp,4
07123.bmp,4
07123.bmp,4
07123.bmp,4
07123.bmp,4
07123.bmp,4
07123.bmp,4
07123.bmp,4
07123.bmp,4
07123.bmp,4
00023.bmp,4
00023.bmp,4
00023.bmp,4
00023.bmp,4
00023.bmp,4
00023.bmp,4
00023.bmp,4
00023.bmp,4
00023.bmp,4
00023.bmp,4
00592.bmp,4
00592.bmp,4
00592.bmp,4
00592.bmp,4
00592.bmp,4
00592.bmp,4
00592.bmp,4
00592.bmp,4
00592.bmp,4
00592.bmp,4
00592.bmp,4
00592.bmp,4
00592.bmp,4
